Name,Glyph,Character,Category,Description
Aacute,Á,U+000C1,Latin Letters,Acute
Aacute,Á,U+000C1,Latin Letters,Acute
aacute,á,U+000E1,Latin Letters,Acute
aacute,á,U+000E1,Latin Letters,Acute
Abreve,Ă,U+00102,Latin Letters,Breve
abreve,ă,U+00103,Latin Letters,Breve
ac,∾,U+0223E,Mathematical Symbols,Approx
acd,∿,U+0223F,Mathematical Symbols,Approx
acE,∾̳,U+0223E U+00333,Mathematical Symbols,Approx
Acirc,Â,U+000C2,Latin Letters,Circumflex
Acirc,Â,U+000C2,Latin Letters,Circumflex
acirc,â,U+000E2,Latin Letters,Circumflex
acute,´,U+000B4,Punctuation,Acute
acute,´,U+000B4,Punctuation,Acute
Acy,А,U+00410,Latin Letters,Cyrillic
acy,а,U+00430,Latin Letters,Cyrillic
AElig,Æ,U+000C6,Latin Letters,AE
AElig,Æ,U+000C6,Latin Letters,AE
aelig,æ,U+000E6,Latin Letters,AE
af,⁡,U+02061,Punctuation,Function
Afr,𝔄,U+1D504,Latin Letters,Fraktur
afr,𝔞,U+1D51E,Latin Letters,Fraktur
Agrave,À,U+000C0,Latin Letters,Grave
agrave,à,U+000E0,Latin Letters,Grave
alefsym,ℵ,U+02135,Mathematical Symbols,Aleph
aleph,ℵ,U+02135,Mathematical Symbols,Aleph
Alpha,Α,U+00391,Greek Letters,Alpha
alpha,α,U+003B1,Greek Letters,Alpha
Amacr,Ā,U+00100,Latin Letters,Macron
amacr,ā,U+00101,Latin Letters,Macron
amalg,⨿,U+02A3F,Mathematical Symbols,Amalgamation
AMP,&,U+00026,Punctuation,Ampersand
AMP,&,U+00026,Punctuation,Ampersand
amp,&,U+00026,Punctuation,Ampersand
amp,&,U+00026,Punctuation,Ampersand
And,⩓,U+02A53,Mathematical Symbols,And
and,∧,U+02227,Mathematical Symbols,And
andand,⩕,U+02A55,Mathematical Symbols,And
andd,⩜,U+02A5C,Mathematical Symbols,And
andslope,⩘,U+02A58,Mathematical Symbols,And
andv,⩚,U+02A5A,Mathematical Symbols,And
ang,∠,U+02220,Mathematical Symbols,Angle
ange,⦤,U+029A4,Technical Symbols,Angle
angle,∠,U+02220,Mathematical Symbols,Angle
angmsd,∡,U+02221,Mathematical Symbols,Angle
angmsdaa,⦨,U+029A8,Technical Symbols,Angle
angmsdab,⦩,U+029A9,Technical Symbols,Angle
angmsdac,⦪,U+029AA,Technical Symbols,Angle
angmsdad,⦫,U+029AB,Technical Symbols,Angle
angmsdae,⦬,U+029AC,Technical Symbols,Angle
angmsdaf,⦭,U+029AD,Technical Symbols,Angle
angmsdag,⦮,U+029AE,Technical Symbols,Angle
angmsdah,⦯,U+029AF,Technical Symbols,Angle
angrt,∟,U+0221F,Mathematical Symbols,Angle
angrtvb,⊾,U+022BE,Mathematical Symbols,Angle
angrtvbd,⦝,U+0299D,Technical Symbols,Angle
angsph,∢,U+02222,Mathematical Symbols,Angle
angst,Å,U+000C5,Latin Letters,Angstrom
angzarr,⍼,U+0237C,Technical Symbols,Angle
Aogon,Ą,U+00104,Latin Letters,Ogonek
